Company_Names,Cars_Names,Engines,cc_capacity,horsepower,top_speed_kmh,perf_0_100_s,price,Fuel_Types,seats,torque_nm
Chevrolet,Traverse,3.6L V6 Gasoline,3600.0,310.0,210.0,7.0,35915.0,Petrol,7.0,360.0
Chevrolet,Equinox,1.5L Turbo Inline-4 Gasoline,1500.0,170.0,200.0,8.9,26600.0,Petrol,5.0,275.0
Chevrolet,Blazer,3.6L V6 Gasoline,3600.0,308.0,220.0,6.6,44000.0,Petrol,5.0,366.0
Chevrolet,Tahoe,5.3L V8 Gasoline,5300.0,355.0,200.0,7.5,56995.0,Petrol,7.0,519.0
Chevrolet,Suburban,5.3L V8 Gasoline,5300.0,355.0,190.0,7.6,59900.0,Petrol,8.0,519.0
Chevrolet,Colorado,2.7L Turbo Inline-4 Gasoline,2700.0,310.0,190.0,6.8,30695.0,Petrol,5.0,583.0
Chevrolet,Silverado 1500,5.3L V8 Gasoline,5300.0,355.0,180.0,7.0,42795.0,Petrol,6.0,519.0
Chevrolet,Silverado 2500HD,6.6L V8 Gasoline,6600.0,401.0,170.0,8.0,41500.0,Petrol,6.0,629.0
Chevrolet,Silverado 3500HD,6.6L V8 Diesel,6600.0,445.0,160.0,8.5,45500.0,Diesel,6.0,1234.0
Chevrolet,Bolt EV,Single Electric Motor,66.0,200.0,150.0,6.5,27495.0,Electric,5.0,360.0
Chevrolet,Bolt EUV,Single Electric Motor,66.0,200.0,150.0,7.0,28795.0,Electric,5.0,360.0
Chevrolet,Trailblazer,1.3L Turbo Inline-3 Gasoline,1300.0,155.0,200.0,9.4,23100.0,Petrol,5.0,236.0
Chevrolet,Malibu Premier,2.0L Turbo Inline-4 Gasoline,2000.0,250.0,240.0,5.8,33500.0,Petrol,5.0,353.0
Chevrolet,Camaro ZL1,6.2L Supercharged V8 Gasoline,6200.0,650.0,318.0,3.5,67300.0,Petrol,4.0,881.0
Chevrolet,Corvette Stingray,6.2L V8 Gasoline,6200.0,495.0,312.0,3.0,65895.0,Petrol,2.0,637.0
Chevrolet,Silverado 1500 High Country,5.3L V8 Gasoline,5300.0,355.0,180.0,7.0,61595.0,Petrol,6.0,519.0
Chevrolet,Silverado 1500 Trail Boss,5.3L V8 Gasoline,5300.0,355.0,180.0,7.0,55895.0,Petrol,6.0,519.0
Chevrolet,Silverado 1500 RST,5.3L V8 Gasoline,5300.0,355.0,180.0,7.1,50895.0,Petrol,6.0,519.0
Chevrolet,Colorado ZR2,2.8L Turbo Diesel I4,2800.0,181.0,160.0,9.1,48295.0,Diesel,5.0,500.0
Chevrolet,Traverse Premier,3.6L V6 Gasoline,3600.0,310.0,210.0,7.0,46600.0,Petrol,7.0,360.0
Chevrolet,Equinox Premier,1.5L Turbo Inline-4 Gasoline,1500.0,170.0,200.0,8.8,33400.0,Petrol,5.0,275.0
Chevrolet,Blazer RS,3.6L V6 Gasoline,3600.0,308.0,220.0,6.6,48900.0,Petrol,5.0,366.0
Chevrolet,Bolt EV 2LT,Single Electric Motor,66.0,200.0,150.0,6.7,28795.0,Electric,5.0,360.0
Chevrolet,Camaro SS,6.2L V8 Gasoline,6200.0,455.0,290.0,4.3,43500.0,Petrol,4.0,617.0
Chevrolet,Corvette Grand Sport,6.2L V8 Gasoline,6200.0,460.0,290.0,3.9,65900.0,Petrol,2.0,630.0
Chevrolet,Traverse RS,3.6L V6 Gasoline,3600.0,310.0,210.0,7.0,43700.0,Petrol,7.0,360.0
Chevrolet,Blazer Premier,3.6L V6 Gasoline,3600.0,308.0,220.0,6.6,45000.0,Petrol,5.0,366.0
Chevrolet,Malibu LT,1.5L Turbo Inline-4 Gasoline,1500.0,160.0,210.0,8.5,25800.0,Petrol,5.0,250.0
Chevrolet,Spark Activ,1.4L Inline-4 Gasoline,1400.0,98.0,180.0,11.0,17595.0,Petrol,5.0,127.0
Chevrolet,Trax LT,1.2L Turbo Inline-3 Gasoline,1200.0,137.0,200.0,9.2,24100.0,Petrol,5.0,220.0
Chevrolet,Equinox LT,1.5L Turbo Inline-4 Gasoline,1500.0,170.0,200.0,8.9,28400.0,Petrol,5.0,275.0
Chevrolet,Silverado 3500HD High Country,6.6L V8 Diesel,6600.0,445.0,160.0,8.5,75700.0,Diesel,6.0,1234.0
Chevrolet,Colorado WT,2.7L Turbo Inline-4 Gasoline,2700.0,310.0,190.0,6.9,29200.0,Petrol,5.0,583.0
Chevrolet,Suburban High Country,6.2L V8 Gasoline,6200.0,420.0,200.0,7.0,82400.0,Petrol,8.0,624.0
Chevrolet,Silverado Custom,4.3L V6 Gasoline,4300.0,285.0,180.0,8.5,33900.0,Petrol,6.0,413.0
Chevrolet,Spark LS,1.4L Inline-4 Gasoline,1400.0,98.0,180.0,10.9,14395.0,Petrol,5.0,127.0
Chevrolet,Traverse LT,3.6L V6 Gasoline,3600.0,310.0,210.0,7.1,37200.0,Petrol,7.0,360.0
Chevrolet,Blazer LT,2.5L Inline-4 Gasoline,2500.0,193.0,200.0,9.0,36100.0,Petrol,5.0,255.0
Chevrolet,Malibu Premier,2.0L Turbo Inline-4 Gasoline,2000.0,250.0,240.0,5.8,34500.0,Petrol,5.0,353.0
Chevrolet,Equinox RS,1.5L Turbo Inline-4 Gasoline,1500.0,170.0,200.0,8.8,31900.0,Petrol,5.0,275.0
Chevrolet,Silverado 1500 Custom,4.3L V6 Gasoline,4300.0,285.0,180.0,8.6,34900.0,Petrol,6.0,413.0
Chevrolet,Silverado 2500HD LTZ,6.6L V8 Diesel,6600.0,445.0,160.0,8.4,56400.0,Diesel,6.0,1234.0
Chevrolet,Tahoe RST,5.3L V8 Gasoline,5300.0,355.0,180.0,7.4,64100.0,Petrol,7.0,519.0
Chevrolet,Suburban LT,5.3L V8 Gasoline,5300.0,355.0,180.0,5.1,64400.0,Petrol,8.0,519.0
Chevrolet,Bolt EV Premier,Single Electric Motor,66.0,200.0,150.0,6.5,31700.0,Electric,5.0,360.0
Chevrolet,Tahoe LS,5.3L V8 Gasoline,5300.0,355.0,180.0,7.5,56995.0,Petrol,8.0,519.0
Chevrolet,Tahoe LT,5.3L V8 Gasoline,5300.0,355.0,180.0,7.4,62495.0,Petrol,8.0,519.0
Chevrolet,Tahoe RST,5.3L V8 Gasoline,5300.0,355.0,180.0,7.4,64100.0,Petrol,7.0,519.0
Chevrolet,Tahoe Z71,5.3L V8 Gasoline,5300.0,355.0,180.0,7.6,66700.0,Petrol,7.0,519.0
Chevrolet,Tahoe Premier,6.2L V8 Gasoline,6200.0,420.0,200.0,6.8,71600.0,Petrol,7.0,624.0
Chevrolet,Tahoe High Country,6.2L V8 Gasoline,6200.0,420.0,200.0,6.7,76700.0,Petrol,7.0,624.0
